MenuID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,CreatedDate,ModifiedDate
49,33,Chole Bhature,Spicy chickpeas with fried bread,150,Indian,TRUE,Veg,2020-05-04T10:00:00,2021-07-12T12:00:00
50,34,Pepperoni Pizza,Pizza with pepperoni and mozzarella,200,Italian,TRUE,Non-Veg,2020-09-16T10:00:00,2021-11-20T12:00:00
51,35,Tiramisu,Classic Italian dessert with coffee and cream,160,Desserts,TRUE,Veg,2019-03-30T10:00:00,2020-12-18T12:00:00
52,36,Masala Tea,Spiced tea with milk and cardamom,90,Beverages,TRUE,Veg,2021-01-09T10:00:00,2021-12-30T12:00:00
53,37,Chicken Tikka Masala,Grilled chicken in creamy tomato sauce,210,North Indian,TRUE,Non-Veg,2020-02-25T10:00:00,2021-09-10T12:00:00
54,38,Kale Smoothie,Healthy blend of kale  fruits  and yogurt,130,Smoothies,TRUE,Veg,2020-07-18T10:00:00,2021-06-28T12:00:00
55,39,Chilli Chicken,Spicy chicken stir-fry with bell peppers,190,Chinese,TRUE,Non-Veg,2019-08-14T10:00:00,2020-11-25T12:00:00
56,40,Mutton Biryani,Rich rice dish with spiced mutton,240,Mughlai,TRUE,Non-Veg,2020-03-29T10:00:00,2021-01-19T12:00:00
57,41,Dal Makhani,Creamy lentils with butter and spices,180,Indian,TRUE,Veg,2019-12-11T10:00:00,2020-10-28T12:00:00
58,42,Schezwan Fried Rice,Spicy fried rice with vegetables,140,Chinese,TRUE,Veg,2020-06-22T10:00:00,2021-04-15T12:00:00
59,43,BBQ Chicken Pizza,Pizza with BBQ chicken and onions,210,Italian,TRUE,Non-Veg,2021-02-28T10:00:00,2021-12-18T12:00:00
60,44,Red Velvet Cake,Moist cake with cream cheese frosting,150,Desserts,TRUE,Veg,2019-05-14T10:00:00,2020-09-30T12:00:00
61,45,Latte,Espresso with steamed milk,110,Beverages,TRUE,Veg,2020-08-01T10:00:00,2021-07-20T12:00:00
62,46,Lucknowi Biryani,Fragrant rice with spiced chicken,230,North Indian,TRUE,Non-Veg,2021-01-11T10:00:00,2022-03-05T12:00:00
63,47,Caesar Salad,Crisp romaine with Caesar dressing and croutons,150,Salads,TRUE,Veg,2019-09-05T10:00:00,2020-12-12T12:00:00
64,48,Dragon Chicken,Spicy chicken with chili sauce,200,Chinese,TRUE,Non-Veg,2020-04-22T10:00:00,2021-08-30T12:00:00
65,49,Vegetable Dosa,Crepe filled with spiced vegetables,85,South Indian,TRUE,Veg,2019-11-28T10:00:00,2020-07-18T12:00:00
66,50,Carbonara Pasta,Pasta with creamy egg and bacon sauce,250,Italian,TRUE,Non-Veg,2021-03-19T10:00:00,2022-01-10T12:00:00
67,11,Rogan Josh,Lamb cooked in aromatic spices,220,North Indian,TRUE,Non-Veg,2019-03-15T10:00:00,2020-06-20T12:00:00
68,12,Vegetable Soup,Hearty soup with fresh vegetables,120,Soups,TRUE,Veg,2019-07-10T10:00:00,2021-02-18T12:00:00
69,13,Chicken Curry,Spicy chicken in South Indian gravy,180,South Indian,TRUE,Non-Veg,2020-01-25T10:00:00,2021-08-05T12:00:00
70,14,Szechuan Noodles,Spicy noodles with vegetables,150,Chinese,TRUE,Veg,2020-05-17T10:00:00,2022-01-30T12:00:00
71,15,Mango Smoothie,Refreshing mango and yogurt blend,130,Beverages,TRUE,Veg,2020-09-12T10:00:00,2021-12-22T12:00:00
72,16,Bruschetta,Toasted bread with tomato and basil,140,Continental,TRUE,Veg,2019-11-03T10:00:00,2020-04-25T12:00:00
73,17,Vada Sambhar,Fried lentil dumplings with lentil soup,90,South Indian,TRUE,Veg,2021-02-14T10:00:00,2021-09-10T12:00:00
74,18,Berry Smoothie,Blend of mixed berries and yogurt,140,Smoothies,TRUE,Veg,2021-05-22T10:00:00,2022-03-15T12:00:00
75,19,Thai Green Curry,Spicy coconut curry with vegetables,200,Thai,TRUE,Veg,2019-08-19T10:00:00,2020-07-30T12:00:00
76,20,Paneer Butter Masala,Creamy paneer in tomato sauce,190,North Indian,TRUE,Veg,2020-03-11T10:00:00,2021-01-27T12:00:00
